id,domaine,objet,classification,statut,impact,constat_public,source_1,source_2
CJ-001,Présence numérique,Site référencé par l’annuaire professionnel,DIVERGENCE DOCUMENTAIRE ÉTABLIE,ÉTABLI,Faible à modérée,"L’annuaire professionnel référence encore un site masse-vandenberghe-scp.business.site alors que les sites Google Business Profile en .business.site ont été désactivés en 2024.",https://www.annuaire-commissaire-justice.fr/commissaires-de-justice/masse-michel-vandenberghe-faustine/1482,https://support.google.com/business/thread/255028082/comment-changer-l%E2%80%99adresse-de-mon-site-web-cr%C3%A9%C3%A9-avec-google-par-une-nouvelle-adresse?hl=fr
CJ-002,RGPD / information,Politique RGPD accessible sur le web,ABSENCE DE SURFACE / INDÉTERMINÉ,INDÉTERMINÉ,Faible,"Aucun site autonome actuel clairement rattaché à l’office n’a été identifié lors de l’audit ; cela ne suffit pas à établir une violation RGPD.",https://www.cnil.fr/fr/reglement-europeen-protection-donnees/chapitre3,
CJ-003,Identité professionnelle,Huissier / commissaire de justice,ÉCART TERMINOLOGIQUE APPARENT / NEUTRALISÉ,ÉTABLI,Nulle,"Le RNE conserve une dénomination historique comportant « huissiers de justice associés », tandis que l’annuaire professionnel utilise la qualité actuelle de commissaire de justice. Aucune contradiction substantielle n’est retenue.",https://annuaire-entreprises.data.gouv.fr/entreprise/327795498,https://www.annuaire-commissaire-justice.fr/commissaires-de-justice/masse-michel-vandenberghe-faustine/1482
CJ-004,Adresse,Adresse physique / adresse postale Cedex,ÉCART POSTAL APPARENT / COMPATIBLE,INDÉTERMINÉ,Nulle à faible,"L’adresse physique publique 07300 et l’adresse postale BP/Cedex 07303 peuvent coexister ; aucune anomalie n’est retenue sans élément supplémentaire.",https://annuaire-entreprises.data.gouv.fr/entreprise/327795498,
CJ-005,Actes / conservation,Délai de trois mois,DISTINCTION JURIDIQUE CRITIQUE,À TESTER,Élevée,"Le délai de trois mois de l’article 656 CPC vise la copie déposée à l’étude ; il ne se confond pas avec la conservation de l’original en minute.",https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000006411025,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000044472061/
CJ-006,Actes / minute,Conservation de la minute et expédition,POINT DE CONTRÔLE JURIDIQUE,À TESTER,Élevée,"L’original est conservé en minute et le décret prévoit, sous conditions, la délivrance d’une expédition. Un éventuel refus fondé uniquement sur l’expiration des trois mois doit être confronté à ce régime.",https://www.legifrance.gouv.fr/loda/id/JORFTEXT000044472061/,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000044476223/
CJ-007,Signification,Vérification du domicile,POINT DE CONTRÔLE PROBATOIRE,À TESTER,Élevée,"L’article 656 CPC exige des vérifications établissant que le destinataire demeure à l’adresse indiquée et leur mention dans l’acte de signification.",https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000006411025,
CJ-008,Signification,Avis complémentaire de l’article 658 CPC,POINT DE CONTRÔLE PROBATOIRE,À TESTER,Élevée,"Dans les cas visés aux articles 655 et 656, un avis par lettre simple doit être envoyé le jour même ou le premier jour ouvrable suivant et contenir notamment une copie de l’acte de signification.",https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006070716/LEGISCTA000006149682/,
CJ-009,RGPD / accès,Étendue de la réponse à l’article 15,TEST DE COMPLÉTUDE RGPD,À TESTER,Élevée,"Le droit d’accès porte sur l’ensemble des données personnelles traitées et sur les informations permettant d’en comprendre les finalités, catégories, destinataires, durées et sources lorsqu’elles ne sont pas collectées directement.",https://www.cnil.fr/fr/comprendre-mes-droits/le-droit-dacces-connaitre-les-donnees-quun-organisme-detient-sur-vous,https://www.cnil.fr/fr/reglement-europeen-protection-donnees/chapitre3
CJ-010,RGPD / conservation,Limitation du traitement — article 18,MESURE CONSERVATOIRE,À ACTIVER,Élevée,"Lorsque des données ne sont plus nécessaires au responsable mais restent nécessaires à la personne pour exercer ou défendre des droits en justice, l’article 18 permet d’en demander la limitation et donc la conservation.",https://www.cnil.fr/fr/reglement-europeen-protection-donnees/chapitre3,https://www.cnil.fr/le-droit-la-limitation-du-traitement-geler-lutilisation-de-vos-donnees
CJ-011,Sécurité des communications,Adresse électronique @orange.fr,RISQUE / CONTRÔLE — PAS D’INCOHÉRENCE ÉTABLIE,INDÉTERMINÉ,Modérée,"L’adresse huissier-tournon@orange.fr est publiée dans l’annuaire professionnel. Le seul domaine @orange.fr ne permet pas de conclure à une non-conformité ; la déontologie exige néanmoins confidentialité et sécurité des moyens de communication.",https://www.annuaire-commissaire-justice.fr/commissaires-de-justice/masse-michel-vandenberghe-faustine/1482,https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000048718755
CJ-012,Actes électroniques,Métadonnées et traçabilité,POINT DE CONTRÔLE TECHNIQUE,À TESTER,Modérée à élevée,"Pour les actes électroniques visés par le décret, les données permettant d’identifier l’acte, d’en déterminer les propriétés et d’en assurer la traçabilité doivent être conservées.",https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000044476247/2026-08-23,
